tab	specimens
specimen	experiments	sample	dir_alpha95	dir_comp	dir_dec	dir_inc	dir_n_comps	dir_n_measurements	dir_tilt_correction	dir_dang	dir_mad_free	geologic_classes	geologic_types	lithologies	meas_step_max	meas_step_min	meas_step_unit	analysts	instrument_codes	software_packages	int_corr	citations	method_codes	result_quality	volume	weight
CF-104a	CF-104a_LP-DIR-T	CF-104		ht	313.4	26.6	2	7	0	0	10.5	Sedimentary	Sediment Layer	Siltstone:Sandstone	953	913	K		hargrave 2021-02-11 20:30:56	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g		
CF-104a	CF-104a_LP-DIR-T	CF-104		mt	297.3	42	2	9	0	5.9	8.6	Sedimentary	Sediment Layer	Siltstone:Sandstone	873	723	K		hargrave 2021-02-11 20:30:56	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g		
CF-104a	CF-104a_LP-DIR-T	CF-104		ht	310.0	34.8	2	7	100	0	10.5	Sedimentary	Sediment Layer	Siltstone:Sandstone	953	913	K		hargrave 2021-02-11 20:30:56	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g		
CF-105a	CF-105a_LP-DIR-T	CF-105		mt	308.6	47.4	2	9	0	11.4	9.4	Sedimentary	Sediment Layer	Siltstone:Sandstone	873	723	K		hargrave 2021-02-12 14:15:41	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g		
CF-105a	CF-105a_LP-DIR-T	CF-105		lt	38.9	69.7	2	3	100	27.9	6.1	Sedimentary	Sediment Layer	Siltstone:Sandstone	473	273	K		hargrave 2021-02-12 14:15:41	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g		
CF-105a	CF-105a_LP-DIR-T	CF-105		mt	300.3	54.9	2	9	100	11.4	9.4	Sedimentary	Sediment Layer	Siltstone:Sandstone	873	723	K		hargrave 2021-02-12 14:15:41	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g		
CF-105a	CF-105a_LP-DIR-T	CF-105		lt	23.0	62.5	2	3	0	27.9	6.1	Sedimentary	Sediment Layer	Siltstone:Sandstone	473	273	K		hargrave 2021-02-12 14:15:41	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g		
CF-105a	CF-105a_LP-DIR-T	CF-105		mt	145.5	39.6	2	9	-1	11.4	9.4	Sedimentary	Sediment Layer	Siltstone:Sandstone	873	723	K		hargrave 2021-02-12 14:15:41	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g		
CF-105a	CF-105a_LP-DIR-T	CF-105		lt	155.2	-2	2	3	-1	27.9	6.1	Sedimentary	Sediment Layer	Siltstone:Sandstone	473	273	K		hargrave 2021-02-12 14:15:41	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g		
CF-105a		CF-105										Sedimentary	Sediment Layer	Siltstone:Sandstone				James Pierce				This study	LP-NOMAG			
CF-106a	CF-106a_LP-DIR-T	CF-106		ht	121.5	54.8	2	10	-1	0	8.9	Sedimentary	Sediment Layer	Siltstone:Sandstone	960	937	K		hargrave 2021-02-13 19:00:55	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR	g		
CF-106a	CF-106a_LP-DIR-T	CF-106		mt	161.1	46.3	2	11	-1	11	10.8	Sedimentary	Sediment Layer	Siltstone:Sandstone	893	723	K		hargrave 2021-02-13 19:00:55	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g		
CF-106a	CF-106a_LP-DIR-T	CF-106		ht	299.5	21.8	2	10	0	0	8.9	Sedimentary	Sediment Layer	Siltstone:Sandstone	960	937	K		hargrave 2021-02-13 19:00:55	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g		
CF-106a	CF-106a_LP-DIR-T	CF-106		mt	286.1	45.6	2	11	0	11	10.8	Sedimentary	Sediment Layer	Siltstone:Sandstone	893	723	K		hargrave 2021-02-13 19:00:55	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g		
CF-106a	CF-106a_LP-DIR-T	CF-106		ht	295.9	28.4	2	10	100	0	8.9	Sedimentary	Sediment Layer	Siltstone:Sandstone	960	937	K		hargrave 2021-02-13 19:00:55	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g		
CF-106a	CF-106a_LP-DIR-T	CF-106		mt	276.1	49.8	2	11	100	11	10.8	Sedimentary	Sediment Layer	Siltstone:Sandstone	893	723	K		hargrave 2021-02-13 19:00:55	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g		
CF-106a		CF-106										Sedimentary	Sediment Layer	Siltstone:Sandstone				James Pierce				This study	LP-NOMAG			
CF-107a	CF-107a_LP-DIR-T	CF-107		mt	296.3	48.1	3	9	0	6.9	6.5	Sedimentary	Sediment Layer	Siltstone:Sandstone	873	723	K		hargrave 2021-02-13 19:02:26	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g		
CF-107a	CF-107a_LP-DIR-T	CF-107		mt	286.1	53.8	3	9	100	6.9	6.5	Sedimentary	Sediment Layer	Siltstone:Sandstone	873	723	K		hargrave 2021-02-13 19:02:26	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g		
CF-107a	CF-107a_LP-DIR-T	CF-107		lt	19.7	85	3	3	100	28.4	6.1	Sedimentary	Sediment Layer	Siltstone:Sandstone	573	373	K		hargrave 2021-02-13 19:02:26	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g		
CF-107a	CF-107a_LP-DIR-T	CF-107		ht	276.5	43.3	3	10	100	0	9.4	Sedimentary	Sediment Layer	Siltstone:Sandstone	960	937	K		hargrave 2021-02-13 19:02:26	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g		
CF-107a	CF-107a_LP-DIR-T	CF-107		lt	357.6	75.5	3	3	0	28.4	6.1	Sedimentary	Sediment Layer	Siltstone:Sandstone	573	373	K		hargrave 2021-02-13 19:02:26	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g		
CF-107a		CF-107										Sedimentary	Sediment Layer	Siltstone:Sandstone				James Pierce				This study	LP-NOMAG			
CF-107a	CF-107a_LP-DIR-T	CF-107		mt	173.3	47.5	3	9	-1	6.9	6.5	Sedimentary	Sediment Layer	Siltstone:Sandstone	873	723	K		hargrave 2021-02-13 19:02:26	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g		
CF-107a	CF-107a_LP-DIR-T	CF-107		lt	166.3	11.2	3	3	-1	28.4	6.1	Sedimentary	Sediment Layer	Siltstone:Sandstone	573	373	K		hargrave 2021-02-13 19:02:26	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g		
CF-107a	CF-107a_LP-DIR-T	CF-107		ht	187.0	56.4	3	10	-1	0	9.4	Sedimentary	Sediment Layer	Siltstone:Sandstone	960	937	K		hargrave 2021-02-13 19:02:26	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR	g		
CF-107a	CF-107a_LP-DIR-T	CF-107		ht	284.5	39.3	3	10	0	0	9.4	Sedimentary	Sediment Layer	Siltstone:Sandstone	960	937	K		hargrave 2021-02-13 19:02:26	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g		
CF-108a	CF-108a_LP-DIR-T	CF-108		ht	133.7	63.8	2	9	-1	0	2.5	Sedimentary	Sediment Layer	Siltstone:Sandstone	957	937	K		hargrave 2021-02-13 20:01:17	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR	g		
CF-108a	CF-108a_LP-DIR-T	CF-108		mt	141.3	61.2	2	12	-1	4.7	6.2	Sedimentary	Sediment Layer	Siltstone:Sandstone	903	723	K		hargrave 2021-02-13 20:01:17	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g		
CF-108a	CF-108a_LP-DIR-T	CF-108		ht	283.5	27.1	2	9	0	0	2.5	Sedimentary	Sediment Layer	Siltstone:Sandstone	957	937	K		hargrave 2021-02-13 20:01:17	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g		
CF-108a	CF-108a_LP-DIR-T	CF-108		mt	283.1	31.5	2	12	0	4.7	6.2	Sedimentary	Sediment Layer	Siltstone:Sandstone	903	723	K		hargrave 2021-02-13 20:01:17	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g		
CF-108a	CF-108a_LP-DIR-T	CF-108		ht	278.4	31.3	2	9	100	0	2.5	Sedimentary	Sediment Layer	Siltstone:Sandstone	957	937	K		hargrave 2021-02-13 20:01:17	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g		
CF-108a	CF-108a_LP-DIR-T	CF-108		mt	277.1	35.5	2	12	100	4.7	6.2	Sedimentary	Sediment Layer	Siltstone:Sandstone	903	723	K		hargrave 2021-02-13 20:01:17	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g		
CF-108a		CF-108										Sedimentary	Sediment Layer	Siltstone:Sandstone				James Pierce				This study	LP-NOMAG			
CF-109a	CF-109a_LP-DIR-T	CF-109		mt	278.2	43.9	3	8	100	7.4	3.6	Sedimentary	Sediment Layer	Siltstone:Sandstone	873	773	K		hargrave 2021-02-12 14:21:57	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g		
CF-109a	CF-109a_LP-DIR-T	CF-109		lt	51.7	79.9	3	3	100	33.9	6.2	Sedimentary	Sediment Layer	Siltstone:Sandstone	473	273	K		hargrave 2021-02-12 14:21:57	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g		
CF-109a	CF-109a_LP-DIR-T	CF-109		ht	277.1	29.2	3	10	100	0	7.1	Sedimentary	Sediment Layer	Siltstone:Sandstone	955	923	K		hargrave 2021-02-12 14:21:57	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g		
CF-109a	CF-109a_LP-DIR-T	CF-109		mt	286.3	39.6	3	8	0	7.4	3.6	Sedimentary	Sediment Layer	Siltstone:Sandstone	873	773	K		hargrave 2021-02-12 14:21:57	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g		
CF-109a	CF-109a_LP-DIR-T	CF-109		lt	163.1	5.5	3	3	-1	33.9	6.2	Sedimentary	Sediment Layer	Siltstone:Sandstone	473	273	K		hargrave 2021-02-12 14:21:57	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g		
CF-109a	CF-109a_LP-DIR-T	CF-109		ht	281.8	25.3	3	10	0	0	7.1	Sedimentary	Sediment Layer	Siltstone:Sandstone	955	923	K		hargrave 2021-02-12 14:21:57	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g		
CF-109a	CF-109a_LP-DIR-T	CF-109		mt	192.0	53.5	3	8	-1	7.4	3.6	Sedimentary	Sediment Layer	Siltstone:Sandstone	873	773	K		hargrave 2021-02-12 14:21:57	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g		
CF-109a	CF-109a_LP-DIR-T	CF-109		ht	210.3	65	3	10	-1	0	7.1	Sedimentary	Sediment Layer	Siltstone:Sandstone	955	923	K		hargrave 2021-02-12 14:21:57	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR	g		
CF-109a		CF-109										Sedimentary	Sediment Layer	Siltstone:Sandstone				James Pierce				This study	LP-NOMAG			
CF-109a	CF-109a_LP-DIR-T	CF-109		lt	19.7	73.1	3	3	0	33.9	6.2	Sedimentary	Sediment Layer	Siltstone:Sandstone	473	273	K		hargrave 2021-02-12 14:21:57	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g		
CF-10a	CF-10a_LP-DIR-T	CF-10		ht	165.9	-57.2	3	7	-1	0	7.5	Sedimentary	Sediment Layer	Siltstone:Sandstone	954	937	K		hargrave 2020-11-24 21:43:43	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR	g		
CF-10a	CF-10a_LP-DIR-T	CF-10		lt	199.9	4.7	3	3	-1	27.2	5.3	Sedimentary	Sediment Layer	Siltstone:Sandstone	473	273	K		hargrave 2020-11-24 21:43:43	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g		
CF-10a	CF-10a_LP-DIR-T	CF-10		ht	279.3	21.8	3	7	0	0	7.5	Sedimentary	Sediment Layer	Siltstone:Sandstone	954	937	K		hargrave 2020-11-24 21:43:43	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g		
CF-10a	CF-10a_LP-DIR-T	CF-10		lt	3.9	69.6	3	3	0	27.2	5.3	Sedimentary	Sediment Layer	Siltstone:Sandstone	473	273	K		hargrave 2020-11-24 21:43:43	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g		
CF-10a		CF-10										Sedimentary	Sediment Layer	Siltstone:Sandstone				James Pierce				This study	LP-NOMAG			
CF-10a	CF-10a_LP-DIR-T	CF-10		mt	192.4	-45.8	3	8	-1	6.6	10.1	Sedimentary	Sediment Layer	Siltstone:Sandstone	873	773	K		hargrave 2020-11-24 21:43:43	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g		
CF-10a	CF-10a_LP-DIR-T	CF-10		lt	18.7	78.7	3	3	100	27.2	5.3	Sedimentary	Sediment Layer	Siltstone:Sandstone	473	273	K		hargrave 2020-11-24 21:43:43	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g		
CF-10a	CF-10a_LP-DIR-T	CF-10		mt	292.0	39.3	3	8	100	6.6	10.1	Sedimentary	Sediment Layer	Siltstone:Sandstone	873	773	K		hargrave 2020-11-24 21:43:43	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g		
CF-10a	CF-10a_LP-DIR-T	CF-10		ht	275.2	25.3	3	7	100	0	7.5	Sedimentary	Sediment Layer	Siltstone:Sandstone	954	937	K		hargrave 2020-11-24 21:43:43	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g		
CF-10a	CF-10a_LP-DIR-T	CF-10		mt	297.8	33.1	3	8	0	6.6	10.1	Sedimentary	Sediment Layer	Siltstone:Sandstone	873	773	K		hargrave 2020-11-24 21:43:43	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g		
CF-110a		CF-110										Sedimentary	Sediment Layer	Siltstone:Sandstone				James Pierce				This study	LP-NOMAG			
CF-110a	CF-110a_LP-DIR-T	CF-110		mt	289.5	32.1	2	9	100	5.8	5	Sedimentary	Sediment Layer	Siltstone:Sandstone	873	723	K		hargrave 2021-02-13 19:05:40	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g		
CF-110a	CF-110a_LP-DIR-T	CF-110		ht	125.9	63.2	2	8	-1	0	6.5	Sedimentary	Sediment Layer	Siltstone:Sandstone	960	945	K		hargrave 2021-02-13 19:05:40	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR	g		
