formation,f,f min,f max,ref,mineralogy,method,note
Gonjo Basin Group 9,0.65,0.51,0.84,"Vaes et al., 2021",Hematite,EI,
Kangtuo Formation,0.47,0.45,0.57,"Ding et al., 2015",Hematite,EI,
Pliocene Kuqa Depression,0.5,0.33,0.77,"Zhang et al., 2022",Hematite,EI,
Miocene Kuqa Depression,0.44,0.28,72,"Zhang et al., 2022",Hematite,EI,
Oligocene Kuqa Depression,0.43,0.31,0.64,"Zhang et al., 2022",Hematite,EI,
Eocene Kuqa Depression,0.43,0.28,0.6,"Zhang et al., 2022",Hematite,EI,
Qiangtang terrane,0.61,0.49,0.76,"Chen et al., 2015",Hematite,EI,
Shexing Formation ,0.66,0.53,0.91,"Lippert et al., 2014; data of Sun et al., 2012",Hematite,EI,
Nacimiento Formation,0.84,0.5,1.01,"Tauxe et al., 2008; data of Butler and Taylor, 1978",Hematite,EI,
Santa Fè,0.94,0.56,1.01,"Gong et al., 2008",Magnetite,EI,
Coll d'Abella ,0.93,0.61,1.03,"Gong et al., 2008",Magnetite,EI,
Lluçà ,0.95,0.6,1.01,"Gong et al., 2008",Magnetite,EI,
ont Bordonera ,0.94,0.69,1.01,"Gong et al., 2008",Magnetite,EI,
Senyús top ,0.96,0.7,1.03,"Gong et al., 2008",Magnetite,EI,
Senyús ,0.95,0.61,1.01,"Gong et al., 2008",Magnetite,EI,
Cabó,0.95,0.6,1.01,"Gong et al., 2008",Magnetite,EI,
Prada C ,0.97,0.63,1.01,"Gong et al., 2008",Magnetite,EI,
Hostal Nou ,0.93,0.5,1,"Gong et al., 2008",Magnetite,EI,
South Pyrenean ,0.58,0.42,0.77,"Costa et al., 2009",Hematite,EI,
Alano section ,0.62,0.32,0.9,"Agnini et al., 2011",Magnetite,EI,
Pannonian basin,0.74,0.34,0.97,"Borgh et al., 2013",Magnetite,EI,
central Pontides,0.94,0.68,1,"Meijers et al., 2010",Magnetite,EI,
central Pontides,0.9,0.65,1,"Meijers et al., 2010",Magnetite,EI,
Xigaze ophiolites,0.51,0.39,0.65,"Huag et al., 2015",Hematite,EI,
lower Beaufort Group ,0.7,0.41,0.9,"Lanci et al., 2013",Hematite,EI,
Hartford basin,0.54,0.48,0.62,"Kent and Olsen, 2008",Hematite,EI,
Neccaleena Formation,0.74,,,"Schmidt et al., 2009",Hematite,EI,
Elatina Formation,0.64,,,"Schmidt et al., 2009",Hematite,EI,
Shan-Thai Block ,0.45,0.38,0.55,"Tong et al., 2013",Hematite,EI,
Torre de' Busi ,0.76,,,"Channell et al., 2010",Magnetite,EI,
Colle di Sogno ,0.99,,,"Channell et al., 2010",Magnetite,EI,
Colle di Sogno ,0.95,,,"Channell et al., 2010",Magnetite,EI,
Colme di Vignola ,0.91,,,"Channell et al., 2010",Magnetite,EI,
Colme di Vignola ,0.89,,,"Channell et al., 2010",Magnetite,EI,
Foza A ,0.89,,,"Channell et al., 2010",Magnetite,EI,
Frisoni A ,0.84,,,"Channell et al., 2010",Magnetite,EI,
Frisoni A ,0.84,,,"Channell et al., 2010",Magnetite,EI,
Sciapala ,0.96,,,"Channell et al., 2010",Magnetite,EI,
Kioto Group of platform limestones ,0.96,0.7,1.04,"Huag et al., 2015b",Magnetite,EI,limesotne
Deer Lake Group red beds,0.76,0.52,1.03,Bilardello and Kodama2010b,Magnetite,EI,
Ag. Giorgios and Monolithos,0.84,0.46,1.03,"van Hisbergen et al., 2007",Magnetite,EI,
Kefala & Aspropetres,0.59,0.37,0.89,"van Hisbergen et al., 2007",Magnetite,EI,
Aegean orocline ,0.67,0.53,0.83,"van Hisbergen et al., 2010",Magnetite,EI,
Pignola-Abriola section,0.58,0.47,0.79,"Maron et al., 2015",Magnetite,EI,
Badislava,0.44,0.25,0.84,"Vasiliev et al., 2007",greigite ,EI,
Rimnicu Sarat,0.57,0.31,0.88,"Vasiliev et al., 2007",greigite ,EI,
Qaidam basin ,0.82,0.65,0.99,"Yu et al., 2014",Hematite,EI,
Qiangtang Terrane,0.62,0.52,0.78,"Tong et al., 2017",Hematite,EI,
Qiangtang Terrane,0.73,0.58,0.94,"Tong et al., 2017",Hematite,EI,
Silverquick,0.96,0.75,1.04,"Krijgsman and Tauxe, 2006",Magnetite,EI,
Nanaimo,0.7,0.57,0.9,"Krijgsman and Tauxe, 2006",Magnetite,EI,
